year,return
1940,-0.1529223379
1941,-0.1786389414
1942,0.1242807825
1943,0.1944728762
1944,0.1379605827
1945,0.3072289157
1946,-0.1186635945
1947,0.0000000000
1948,-0.0065359477
1949,0.1026315789
1950,0.2177804296
1951,0.1646251837
1952,0.1177955406
1953,-0.0662401204
1954,0.4502216848
1955,0.2640355753
1956,0.0261653474
1957,-0.1431326334
1958,0.3805951488
1959,0.0847672523
1960,-0.0297211555
1961,0.2312854930
1962,-0.1180992313
1963,0.1889064976
1964,0.1296987470
1965,0.0906194690
1966,-0.1309098777
1967,0.2009212000
1968,0.0766041256
1969,-0.1136144810
1970,0.0009776233
1971,0.1078676072
1972,0.1563326477
1973,-0.1736552308
1974,-0.2971809329
1975,0.3154900817
1976,0.1914846435
1977,-0.1150195422
1978,0.0106203996
1979,0.1230881282
1980,0.2577357791
1981,-0.0973040660
1982,0.1476132191
1983,0.1727104664
1984,0.0140059419
1985,0.2633341306
1986,0.1462040894
1987,0.0202750134
1988,0.1240084183
1989,0.2725046810
1990,-0.0655913978
1991,0.2630670462
1992,0.0446426431
1993,0.0705515136
1994,-0.0153928610
1995,0.3411065386
1996,0.2026366633
1997,0.3100818101
1998,0.2666859021
1999,0.1952604476
2000,-0.1013918666
2001,-0.1304268791
2002,-0.2336596753
2003,0.2638039599
2004,0.0899345277
2005,0.0300102317
2006,0.1361943138
2007,0.0352957766
2008,-0.3848579367
2009,0.2345419319
2010,0.1278271007
2011,-0.0000318056
2012,0.1340569338
2013,0.2960124528
2014,0.1139063819
2015,-0.0072660158
2016,0.0953501570
2017,0.1941996489
2018,-0.0623725973
2019,0.2887807408
2020,0.1625892199
2021,0.2689273629
2022,-0.1944282423
2023,0.2423049876
2024,0.2330900682
2025,0.1638780406
